GPU Name,Passmark mark,GPU Value,MSRP
Quadro RTX 5000 (Mobile),14832,60,NA,NA
Quadro RTX 5000 with Max-Q Design,14699,62,NA,NA
Quadro RTX 6000,19515,20,3.10,"$6,300.00*"
Quadro RTX 8000,19126,25,4.03,"$4,741.49*"
Quadro T1000,6511,209,14.73,$441.99*
Quadro T2000,7200,196,13.63,$528.35*
Quadro2 MXR/EX,4,2180,NA,NA
Quadro2 Pro,1,2264,NA,NA
Quadro4 380 XGL,6,2130,NA,NA
Quadro4 900 XGL,4,2162,NA,NA
Quadro4 980 XGL,5,2160,0.01,$341.43*
Qualcomm Adreno 540 GPU,120,1717,NA,NA
Qualcomm Adreno 618 GPU,118,1720,NA,NA
Qualcomm Adreno 630 GPU,267,1514,NA,NA
Qualcomm Adreno 675 GPU,540,1259,NA,NA
Qualcomm Adreno 680 GPU,489,1308,NA,NA
Qualcomm Adreno 685 GPU,853,953,NA,NA
Qualcomm Adreno 690 GPU,951,882,NA,NA
Qualcomm Adreno 8cx Gen 3,1744,609,NA,NA
QXL KMDOD,18,2078,NA,NA
Radeon 2100,59,1912,0.34,$174.29*
Radeon 3000,98,1787,0.31,$319.00*
Radeon 3100,73,1864,0.33,$225.99*
Radeon 520,839,961,9.33,$89.99*
Radeon 530,961,876,NA,NA
Radeon 535,1048,823,NA,NA
Radeon 535DX,797,997,NA,NA
Radeon 540,1300,720,NA,NA
Radeon 540X,1358,698,NA,NA
Radeon 550,1958,-1,19.59,$99.99
Radeon 550X,1429,680,NA,NA
Radeon 620,870,939,NA,NA
Radeon 625,1097,795,NA,NA
Radeon 630,1244,733,NA,NA
Radeon 6600M,519,1276,NA,NA
Radeon 6750M,911,914,NA,NA
Radeon 7000 / Radeon VE,2,2236,NA,NA
RADEON 7000 / RADEON VE Family,3,2199,NA,NA
RADEON 7200,2,2230,0.00,$599.99*
RADEON 7500,3,2220,0.02,$177.25*
RADEON 7500 Family,4,2170,NA,NA
RADEON 8500 Family,6,2131,NA,NA
RADEON 9000,4,2175,NA,NA
RADEON 9000 Family,3,2209,NA,NA
RADEON 9100 Family,6,2137,NA,NA
RADEON 9100 IGP,5,2153,NA,NA
RADEON 9200,3,2206,0.02,$153.63*
RADEON 9200 LE Family,2,2240,NA,NA
RADEON 9200 PRO Family,2,2231,NA,NA
RADEON 9200 SE,2,2243,NA,NA
RADEON 9250,2,2241,0.01,$194.00*
RADEON 9500,36,2000,0.90,$40.50*
RADEON 9500 PRO / 9700,41,1972,NA,NA
RADEON 9550,34,2009,0.12,$291.74*
Radeon 9550 / X1050,29,2040,NA,NA
RADEON 9600 Family,25,2055,NA,NA
RADEON 9600 PRO,42,1969,NA,NA
RADEON 9600 PRO Family,26,2047,NA,NA
RADEON 9600 TX Family,18,2080,NA,NA
RADEON 9600 XT,35,2007,NA,NA
RADEON 9600SE,27,2044,NA,NA
RADEON 9700 PRO,53,1929,NA,NA
RADEON 9800,57,1921,0.18,$325.00*
RADEON 9800 PRO,59,1913,NA,NA
RADEON 9800 SE,23,2065,NA,NA
RADEON 9800 XT,56,1924,NA,NA
RADEON A9800XT,22,2070,NA,NA
RADEON E2400,51,1935,NA,NA
RADEON E4690,405,1397,NA,NA
Radeon E6460,323,1466,NA,NA
Radeon E6465,231,1549,NA,NA
Radeon E6760,876,935,3.65,$239.99*
Radeon E8860,1625,626,NA,NA
Radeon E8870PCIe,3368,343,NA,NA
Radeon HD 2350,76,1854,NA,NA
Radeon HD 2400,120,1715,1.37,$88.20*
Radeon HD 2400 PCI,14,2094,NA,NA
Radeon HD 2400 Pro,114,1738,NA,NA
Radeon HD 2400 XT,118,1719,NA,NA
Radeon HD 2600 PRO,211,1571,1.12,$188.44*
Radeon HD 2600 Pro AGP,110,1753,NA,NA
Radeon HD 2600 XT,282,1505,1.78,$159.00*
Radeon HD 2900 GT,292,1492,NA,NA
Radeon HD 2900 PRO,627,1152,NA,NA
Radeon HD 2900 XT,659,1120,NA,NA
Radeon HD 3000,95,1797,NA,NA
Radeon HD 3200,82,1837,NA,NA
Radeon HD 3300,126,1698,NA,NA
Radeon HD 3450,118,1722,1.33,$89.00*
Radeon HD 3470,89,1817,0.82,$109.65*
Radeon HD 3650 AGP,150,1642,0.81,$185.00*
Radeon HD 3670,151,1639,NA,NA
Radeon HD 3850,400,1401,NA,NA
Radeon HD 3850 AGP,432,1375,NA,NA
Radeon HD 3850 X2,822,980,NA,NA
Radeon HD 3870,576,1214,8.24,$69.99*
Radeon HD 3870 X2,708,1075,NA,NA
Radeon HD 4200,111,1746,NA,NA
Radeon HD 4250,122,1709,NA,NA
Radeon HD 4270,109,1754,NA,NA
Radeon HD 4290,140,1658,NA,NA
Radeon HD 4300/4500 Serisi,155,1635,NA,NA
Radeon HD 4330,109,1759,NA,NA
Radeon HD 4350,103,1776,1.01,$102.24*
Radeon HD 4550,235,1547,1.51,$156.00*
Radeon HD 4650,217,1563,3.11,$69.99*
Radeon HD 4650 AGP,207,1576,NA,NA
Radeon HD 4670,382,1411,2.68,$142.96*
Radeon HD 4770,905,915,15.10,$59.99*
Radeon HD 4810,769,1019,NA,NA
Radeon HD 4830,860,950,14.34,$59.99*
Radeon HD 4850,950,883,2.51,$378.00*
Radeon HD 4850 X2,1132,779,NA,NA
Radeon HD 4870,1389,688,17.37,$79.99*
Radeon HD 4870 X2,1309,715,NA,NA
Radeon HD 4890,1532,659,17.04,$89.99*
Radeon HD 5450,137,1668,1.45,$94.96*
Radeon HD 5470,268,1513,NA,NA
Radeon HD 5550,376,1419,6.84,$54.99*
Radeon HD 5570,472,1325,2.81,$168.49
Radeon HD 5600/5700,660,1118,NA,NA
Radeon HD 5670,783,1002,11.70,$67.00*
Radeon HD 5750,1166,765,16.67,$69.99*
Radeon HD 5770,1344,703,7.08,$189.99*
Radeon HD 5830,1733,611,6.69,$258.99*
Radeon HD 5850,1958,553,6.78,$288.99*
Radeon HD 5870,2272,483,7.70,$295.00*
Radeon HD 5970,2243,490,12.46,$179.99*
Radeon HD 6230,179,1612,NA,NA
Radeon HD 6250,94,1800,NA,NA
Radeon HD 6290,109,1758,NA,NA
Radeon HD 6290M,140,1662,NA,NA
Radeon HD 6300M,141,1656,NA,NA
Radeon HD 6310,123,1705,NA,NA
Radeon HD 6320,148,1645,0.27,$554.99*
Radeon HD 6320 Graphic,216,1565,NA,NA
Radeon HD 6320M,198,1590,NA,NA
RADEON HD 6350,140,1657,2.39,$59.00*
Radeon HD 6370D,254,1528,NA,NA
Radeon HD 6370M,275,1508,NA,NA
Radeon HD 6380G,207,1577,0.52,$399.99*
Radeon HD 6410D,243,1538,NA,NA
Radeon HD 6430M,192,1596,NA,NA
Radeon HD 6450,199,1588,2.24,$89.00*
Radeon HD 6450 + 8470D Dual,762,1028,NA,NA
Radeon HD 6450A,260,1520,NA,NA
Radeon HD 6470M,227,1550,0.40,$569.99*
Radeon HD 6480G,259,1521,NA,NA
Radeon HD 6480M,353,1438,NA,NA
Radeon HD 6490M,377,1416,0.32,"$1,193.03*"
Radeon HD 6520G,298,1485,NA,NA
Radeon HD 6530D,324,1465,NA,NA
Radeon HD 6550A,707,1076,NA,NA
Radeon HD 6550D,405,1396,NA,NA
Radeon HD 6570,500,1298,7.85,$63.81*
Radeon HD 6610M,565,1228,NA,NA
Radeon HD 6620G,355,1434,NA,NA
Radeon HD 6630M,684,1091,NA,NA
Radeon HD 6650A,835,967,NA,NA
Radeon HD 6650M,756,1035,NA,NA
Radeon HD 6670,745,1047,10.80,$68.99*
Radeon HD 6670 + 6670 Dual,646,1132,NA,NA
Radeon HD 6670 + 7660D Dual,1492,667,NA,NA
Radeon HD 6670/7670,945,889,NA,NA
Radeon HD 6700M,1016,838,NA,NA
Radeon HD 6750,982,861,12.28,$79.99*
Radeon HD 6750M,937,895,NA,NA
Radeon HD 6770,1236,739,4.67,$264.99*
Radeon HD 6770M,964,872,NA,NA
Radeon HD 6790,1617,630,5.50,$294.00*
Radeon HD 6800M,849,957,NA,NA
Radeon HD 6850,1979,545,23.29,$85.00*
Radeon HD 6850 X2,2534,441,NA,NA
Radeon HD 6870,2221,495,8.08,$275.00*
Radeon HD 6900M,1709,616,NA,NA
Radeon HD 6950,2646,419,18.90,$139.99*
Radeon HD 6970,2842,391,18.95,$149.99*
Radeon HD 6970M,2270,484,10.51,$215.99*
Radeon HD 6990,3013,379,6.04,$498.49*
Radeon HD 7290,115,1733,NA,NA
Radeon HD 7290M,123,1707,NA,NA
Radeon HD 7310,129,1688,NA,NA
Radeon HD 7310 - Carte graphique,174,1618,NA,NA
Radeon HD 7310G,180,1609,NA,NA
Radeon HD 7310M,166,1626,NA,NA
Radeon HD 7340,156,1634,0.28,$552.69*
Radeon HD 7340G,196,1591,NA,NA
Radeon HD 7340M,221,1556,NA,NA
Radeon HD 7350,193,1595,NA,NA
Radeon HD 7400G,267,1515,NA,NA
Radeon HD 7420G,311,1476,NA,NA
Radeon HD 7450,225,1552,4.51,$49.99*
Radeon HD 7450A,288,1496,NA,NA
Radeon HD 7450M,329,1459,NA,NA
Radeon HD 7470,316,1474,3.89,$81.37*
Radeon HD 7470M,407,1393,NA,NA
Radeon HD 7480D,283,1504,NA,NA
Radeon HD 7500G,330,1458,NA,NA
Radeon HD 7500G + 7500M/7600M Dual,616,1166,NA,NA
Radeon HD 7500G + 7550M Dual,497,1302,NA,NA
Radeon HD 7500G + HD 7500M/7600M Dual,355,1433,NA,NA
Radeon HD 7520G,317,1473,NA,NA
Radeon HD 7520G + 7400M Dual,486,1312,NA,NA
Radeon HD 7520G + 7470M Dual,542,1258,NA,NA
Radeon HD 7520G + 7500/7600 Dual,582,1207,NA,NA
Radeon HD 7520G + 7600M Dual,591,1194,NA,NA
Radeon HD 7520G + 7610M Dual,588,1198,NA,NA
Radeon HD 7520G + 7650M Dual,453,1350,NA,NA
Radeon HD 7520G + 7670M Dual,523,1272,NA,NA
Radeon HD 7520G + 7700M Dual,1060,815,NA,NA
Radeon HD 7520G + 8600/8700M Dual,311,1477,NA,NA
Radeon HD 7520G + 8750M Dual,376,1417,NA,NA
Radeon HD 7520G + HD 7400M Dual,544,1254,NA,NA
Radeon HD 7520G + HD 7500/7600 Dual,832,970,NA,NA
Radeon HD 7520G + HD 7600M Dual,447,1360,NA,NA
Radeon HD 7520G + HD 7670M Dual,495,1304,NA,NA
Radeon HD 7520G + HD 7700M Dual,574,1216,NA,NA
Radeon HD 7520G + HD 8600/8700M Dual,623,1157,NA,NA
Radeon HD 7520G + HD 8750M Dual,651,1128,NA,NA
Radeon HD 7520G N HD 7520G + HD 7500/7600 7500/760,574,1218,NA,NA
Radeon HD 7520G N HD 7520G + HD 7600M N HD 7600M D,364,1428,NA,NA
Radeon HD 7540D,335,1451,NA,NA
Radeon HD 7540D + 6570 Dual,719,1068,NA,NA
Radeon HD 7540D + 7500 Dual,821,982,NA,NA
Radeon HD 7540D + HD 6450 Dual,643,1135,NA,NA
Radeon HD 7550M,464,1339,NA,NA
Radeon HD 7550M/7650M,728,1059,NA,NA
Radeon HD 7560D,472,1326,NA,NA
Radeon HD 7560D + 6450 Dual,568,1225,NA,NA
Radeon HD 7560D + 6570 Dual,833,969,NA,NA
Radeon HD 7560D + 6670 Dual,1130,780,NA,NA
Radeon HD 7560D + 7560D Dual,982,859,NA,NA
Radeon HD 7560D + 7570 Dual,985,856,NA,NA
Radeon HD 7560D + 7670 Dual,1426,682,NA,NA
Radeon HD 7560D + 7700 Dual,1919,562,NA,NA
Radeon HD 7560D + HD 6570 Dual,1237,737,NA,NA
Radeon HD 7560D + HD 6670 Dual,1554,649,NA,NA
Radeon HD 7560D + HD 7000 Dual,534,1262,NA,NA
Radeon HD 7560D + HD 7600 Dual,1258,729,NA,NA
Radeon HD 7560D + HD 7670 Dual,1380,690,NA,NA
Radeon HD 7560D + HD 7700 Dual,1346,702,NA,NA
Radeon HD 7560D + HD 8570 Dual,935,896,NA,NA
Radeon HD 7560D + R5 235 Dual,563,1231,NA,NA
Radeon HD 7570,611,1172,5.96,$102.49*
Radeon HD 7570M,446,1361,NA,NA
Radeon HD 7570M/HD 7670M,699,1083,NA,NA
Radeon HD 7580D,350,1440,NA,NA
Radeon HD 7600G,320,1469,NA,NA
Radeon HD 7600G + 6400M Dual,376,1418,NA,NA
Radeon HD 7600G + 7450M Dual,389,1407,NA,NA
Radeon HD 7600G + 7500M/7600M Dual,405,1395,NA,NA
Radeon HD 7600G + 7550M Dual,423,1379,NA,NA
Radeon HD 7600G + 8500M/8700M Dual,469,1331,NA,NA
Radeon HD 7600G + HD 7400M Dual,328,1461,NA,NA
Radeon HD 7600G + HD 7500M/7600M Dual,555,1239,NA,NA
Radeon HD 7600G + HD 7550M Dual,509,1290,NA,NA
Radeon HD 7600G + HD 8670M Dual,543,1256,NA,NA
Radeon HD 7600G + HD Dual,435,1369,NA,NA
Radeon HD 7600G N HD 7600G + HD ON HD Dual,526,1269,NA,NA
Radeon HD 7600M + 7600M Dual,773,1016,NA,NA
Radeon HD 7610M,632,1145,NA,NA
Radeon HD 7620G,355,1435,NA,NA
Radeon HD 7620G + 8600M Dual,508,1291,NA,NA
Radeon HD 7620G + 8670M Dual,577,1212,NA,NA
Radeon HD 7620G + HD 8600M Dual,442,1366,NA,NA
Radeon HD 7620G + HD 8670M Dual,507,1293,NA,NA
Radeon HD 7620G N HD 7620G + HD 8600M N HD 8600M D,451,1353,NA,NA
Radeon HD 7640G,450,1355,NA,NA
Radeon HD 7640G + 6400M Dual,526,1268,NA,NA
Radeon HD 7640G + 7400M Dual,637,1137,NA,NA
Radeon HD 7640G + 7450M Dual,754,1038,NA,NA
Radeon HD 7640G + 7470M Dual,595,1189,NA,NA
Radeon HD 7640G + 7500/7600 Dual,627,1154,NA,NA
Radeon HD 7640G + 7500M/7600M Dual,775,1012,NA,NA
Radeon HD 7640G + 7600M Dual,705,1078,NA,NA
Radeon HD 7640G + 7610M Dual,510,1287,NA,NA
Radeon HD 7640G + 7650M Dual,747,1043,NA,NA
Radeon HD 7640G + 7670M Dual,644,1134,NA,NA
Radeon HD 7640G + 7690M Dual,945,890,NA,NA
Radeon HD 7640G + 7700M Dual,690,1085,NA,NA
Radeon HD 7640G + 8500M Dual,585,1203,NA,NA
Radeon HD 7640G + 8570M Dual,558,1238,NA,NA
Radeon HD 7640G + 8600/8700M Dual,688,1087,NA,NA
Radeon HD 7640G + 8600M Dual,249,1532,NA,NA
Radeon HD 7640G + 8670M Dual,558,1237,NA,NA
Radeon HD 7640G + 8750M Dual,654,1122,NA,NA
Radeon HD 7640G + HD 7400M Dual,621,1159,NA,NA
Radeon HD 7640G + HD 7500/7600 Dual,423,1378,NA,NA
Radeon HD 7640G + HD 7600M Dual,704,1080,NA,NA
Radeon HD 7640G + HD 7600M N HD 7600M Dual,406,1394,NA,NA
Radeon HD 7640G + HD 7670M Dual,518,1278,NA,NA
Radeon HD 7640G + HD 7700M Dual,589,1196,NA,NA
Radeon HD 7640G + HD 7700M N HD 7700M Dual,630,1146,NA,NA
Radeon HD 7640G + HD 8500M Dual,607,1177,NA,NA
Radeon HD 7640G + HD 8500M N HD 8500M Dual,665,1110,NA,NA
Radeon HD 7640G + HD 8570M Dual,474,1324,NA,NA
Radeon HD 7640G + HD 8600/8700M Dual,586,1201,NA,NA
Radeon HD 7640G + HD 8670M Dual,677,1098,NA,NA
Radeon HD 7640G + HD 8750M Dual,996,852,NA,NA
Radeon HD 7640G + R5 M200 Dual,559,1235,NA,NA
Radeon HD 7640G + R5 M230 Dual,238,-1,NA,NA
Radeon HD 7640G N HD 7640G + HD 7600M N HD 7600M D,824,978,NA,NA
Radeon HD 7640G N HD 7640G + HD 7670M Dual,679,1096,NA,NA
Radeon HD 7640G N HD 7640G + HD 8570M Dual,422,1381,NA,NA
Radeon HD 7650A,570,1222,2.18,$262.00*
Radeon HD 7650M,450,1356,NA,NA
Radeon HD 7660D,503,1295,NA,NA
Radeon HD 7660D + 6570 Dual,1100,793,NA,NA
Radeon HD 7660D + 6670 Dual,1238,736,NA,NA
Radeon HD 7660D + 7470 Dual,465,1338,NA,NA
Radeon HD 7660D + 7500 Dual,1121,784,NA,NA
Radeon HD 7660D + 7540D Dual,1204,750,NA,NA
Radeon HD 7660D + 7670 Dual,1061,814,NA,NA
Radeon HD 7660D + HD 6670 Dual,1484,670,NA,NA
Radeon HD 7660D + HD 7000 Dual,633,1144,NA,NA
Radeon HD 7660D + HD 7400 Dual,339,1448,NA,NA
Radeon HD 7660D + HD 7700 Dual,1958,554,NA,NA
Radeon HD 7660D + R5 235 Dual,523,1271,NA,NA
Radeon HD 7660D + R7 240 Dual,941,893,NA,NA
Radeon HD 7660G,476,1322,NA,NA
Radeon HD 7660G + 7400M Dual,588,1199,NA,NA
Radeon HD 7660G + 7470M Dual,630,1147,NA,NA
Radeon HD 7660G + 7600M Dual,831,973,NA,NA
Radeon HD 7660G + 7610M Dual,745,1046,NA,NA
Radeon HD 7660G + 7670M Dual,743,1051,NA,NA
Radeon HD 7660G + 7700M Dual,757,1033,NA,NA
Radeon HD 7660G + 7730M Dual,931,897,NA,NA
Radeon HD 7660G + 8600M Dual,445,1362,NA,NA
Radeon HD 7660G + 8670M Dual,587,1200,NA,NA
Radeon HD 7660G + HD 7500/7600 7500/7600 Dual,1002,849,NA,NA
Radeon HD 7660G + HD 7500/7600 Dual,760,1030,NA,NA
Radeon HD 7660G + HD 7500M/7600M Dual,999,851,NA,NA
Radeon HD 7660G + HD 7600M Dual,615,1167,NA,NA
Radeon HD 7660G + HD 7600M N HD 7600M Dual,460,1346,NA,NA
Radeon HD 7660G + HD 7670M Dual,706,1077,NA,NA
Radeon HD 7660G + HD 7700M Dual,777,1009,NA,NA
Radeon HD 7660G + HD 7730M Dual,881,931,NA,NA
Radeon HD 7660G + HD 8500M Dual,758,1031,NA,NA
Radeon HD 7660G + HD 8600/8700M Dual,747,1044,NA,NA
Radeon HD 7660G + HD 8600M Dual,363,1430,NA,NA
Radeon HD 7660G + HD 8670M Dual,711,1073,NA,NA
Radeon HD 7660G N HD 7660G + HD 7600M N HD 7600M D,722,1063,NA,NA
Radeon HD 7660G N HD 7660G + HD 7670M Dual,704,1079,NA,NA
Radeon HD 7660G N HD 7660G + HD 7700M N HD 7700M D,966,871,NA,NA
Radeon HD 7670,812,988,NA,NA
Radeon HD 7670A,1050,820,NA,NA
Radeon HD 7670M,484,1315,0.77,$629.99*
Radeon HD 7670M + 7670M Dual,738,1056,NA,NA
Radeon HD 7690M,1003,848,NA,NA
Radeon HD 7690M XT,1009,844,NA,NA
Radeon HD 7700-serie,1899,566,NA,NA
Radeon HD 7730,1229,744,5.28,$232.70*
Radeon HD 7730M,670,1107,NA,NA
Radeon HD 7750,1712,614,17.13,$99.99*
Radeon HD 7750M,1191,756,NA,NA
Radeon HD 7770,2194,497,7.32,$300.00*
Radeon HD 7790,3090,371,22.07,$139.99*
Radeon HD 7800-serie,4029,300,NA,NA
Radeon HD 7850,3821,314,22.48,$169.99*
Radeon HD 7850M,1372,692,NA,NA
Radeon HD 7870,4666,272,26.51,$176.00*
Radeon HD 7870 XT,4469,277,NA,NA
Radeon HD 7870M,1507,665,NA,NA
Radeon HD 7950 / R9 280,4764,266,36.04,$132.20*
Radeon HD 7970 / R9 280X,5247,245,21.25,$246.99*
Radeon HD 7970M,3774,317,NA,NA
Radeon HD 7990,5565,234,13.91,$399.99*
Radeon HD 8180,138,1667,NA,NA
Radeon HD 8210,189,1601,NA,NA
Radeon HD 8210E,193,1594,NA,NA
Radeon HD 8240,240,1543,NA,NA
Radeon HD 8250,207,1575,NA,NA
Radeon HD 8280,319,1471,NA,NA
Radeon HD 8280E,241,1542,NA,NA
Radeon HD 8280G,269,1512,NA,NA
Radeon HD 8310E,340,1447,NA,NA
Radeon HD 8330,251,1531,NA,NA
Radeon HD 8330E,245,1536,NA,NA
Radeon HD 8350,164,1628,1.65,$99.81*
Radeon HD 8350G,304,1480,NA,NA
Radeon HD 8370D,312,1475,NA,NA
Radeon HD 8400,258,1524,NA,NA
Radeon HD 8400E,272,1509,NA,NA
Radeon HD 8410G,435,1370,NA,NA
Radeon HD 8450G,360,1432,NA,NA
Radeon HD 8450G + 8600/8700M Dual,1070,809,NA,NA
Radeon HD 8450G + 8600M Dual,545,1251,NA,NA
Radeon HD 8450G + 8670M Dual,474,1323,NA,NA
Radeon HD 8450G + 8750M Dual,637,1139,NA,NA
Radeon HD 8450G + HD 8600M Dual,452,1351,NA,NA
Radeon HD 8450G + HD 8670M Dual,574,1219,NA,NA
Radeon HD 8450G + HD 8750M Dual,503,1296,NA,NA
Radeon HD 8450G + R5 M230 Dual,578,1210,NA,NA
Radeon HD 8470,256,1525,NA,NA
Radeon HD 8470D,362,1431,NA,NA
Radeon HD 8470D + 6450 Dual,717,1070,NA,NA
Radeon HD 8470D + 6570 Dual,837,965,NA,NA
Radeon HD 8470D + HD 6450 Dual,862,947,NA,NA
Radeon HD 8470D + HD 6670 Dual,1435,679,NA,NA
Radeon HD 8470D + HD 7500 Dual,1545,653,NA,NA
Radeon HD 8490,264,1518,2.94,$89.99*
Radeon HD 8500M,399,1403,NA,NA
Radeon HD 8500M/8700M,852,956,NA,NA
Radeon HD 8510G,365,1425,NA,NA
Radeon HD 8510G + 8500M Dual,596,1187,NA,NA
Radeon HD 8510G + HD 8500M Dual,629,1148,NA,NA
Radeon HD 8550D,685,1090,NA,NA
Radeon HD 8550G,401,1399,NA,NA
Radeon HD 8550G + 7600M Dual,901,916,NA,NA
Radeon HD 8550G + 8500M Dual,602,1181,NA,NA
Radeon HD 8550G + 8570M Dual,532,1264,NA,NA
Radeon HD 8550G + 8600/8700M Dual,802,994,NA,NA
Radeon HD 8550G + 8600M Dual,617,1164,NA,NA
Radeon HD 8550G + 8670M Dual,579,1208,NA,NA
Radeon HD 8550G + 8690M Dual,664,1112,NA,NA
Radeon HD 8550G + 8750M Dual,795,1000,NA,NA
Radeon HD 8550G + HD 7600M Dual,854,951,NA,NA
Radeon HD 8550G + HD 8500M Dual,558,1236,NA,NA
Radeon HD 8550G + HD 8570M Dual,529,1267,NA,NA
Radeon HD 8550G + HD 8600/8700M Dual,654,1123,NA,NA
Radeon HD 8550G + HD 8600M Dual,593,1191,NA,NA
Radeon HD 8550G + HD 8670M Dual,546,1250,NA,NA
Radeon HD 8550G + HD 8750M Dual,819,984,NA,NA
Radeon HD 8550G + R5 M200 Dual,619,1163,NA,NA
Radeon HD 8550G + R5 M230 Dual,487,1310,NA,NA
Radeon HD 8550G N HD 8550G + HD 8600M N HD 8600M D,611,1171,NA,NA
Radeon HD 8570,980,862,9.93,$98.68*
Radeon HD 8570 + 8670D Dual,620,1162,NA,NA
Radeon HD 8570 + HD 7660D Dual,949,885,NA,NA
Radeon HD 8570D,430,1376,NA,NA
Radeon HD 8570D + 6570 Dual,1239,735,NA,NA
Radeon HD 8570D + 6670 Dual,1039,826,NA,NA
Radeon HD 8570D + HD 6570 Dual,868,941,NA,NA
Radeon HD 8570D + HD 6670 Dual,1260,727,NA,NA
Radeon HD 8570D + HD 7000 Dual,753,1039,NA,NA
Radeon HD 8570D + HD 7700 Dual,1834,582,NA,NA
Radeon HD 8570D + HD 8470 Dual,338,1450,NA,NA
Radeon HD 8570D + HD 8570 Dual,1032,828,NA,NA
Radeon HD 8570D + HD8490 Dual,374,1421,NA,NA
Radeon HD 8570D + R5 235 Dual,470,1328,NA,NA
Radeon HD 8570D + R7 200 Dual,999,850,NA,NA
Radeon HD 8570D + R7 240 Dual,963,873,NA,NA
Radeon HD 8570M,421,1384,NA,NA
Radeon HD 8600/8700M,1029,829,NA,NA
Radeon HD 8610G,414,1387,NA,NA
Radeon HD 8610G + 8500M Dual,610,1175,NA,NA
Radeon HD 8610G + 8600M Dual,588,1197,NA,NA
Radeon HD 8610G + 8670M Dual,599,1185,NA,NA
Radeon HD 8610G + HD 8500M Dual,645,1133,NA,NA
Radeon HD 8610G + HD 8600M Dual,480,1316,NA,NA
Radeon HD 8610G + HD 8670M Dual,577,1211,NA,NA
Radeon HD 8610G + R5 M200 Dual,676,1100,NA,NA
Radeon HD 8650D,525,1270,NA,NA
Radeon HD 8650G,480,1317,NA,NA
Radeon HD 8650G + 7600M Dual,741,1053,NA,NA
Radeon HD 8650G + 7670M Dual,883,928,NA,NA
Radeon HD 8650G + 7700M Dual,1126,782,NA,NA
Radeon HD 8650G + 8500M Dual,626,1156,NA,NA
Radeon HD 8650G + 8570M Dual,654,1125,NA,NA
Radeon HD 8650G + 8600/8700M Dual,831,972,NA,NA
Radeon HD 8650G + 8600M Dual,613,1169,NA,NA
Radeon HD 8650G + 8670M Dual,635,1142,NA,NA
Radeon HD 8650G + 8750M Dual,786,1001,NA,NA
Radeon HD 8650G + HD 7600M Dual,819,983,NA,NA
Radeon HD 8650G + HD 7670M Dual,634,1143,NA,NA
Radeon HD 8650G + HD 8570M Dual,716,1071,NA,NA
Radeon HD 8650G + HD 8600/8700M Dual,763,1025,NA,NA
Radeon HD 8650G + HD 8600M Dual,606,1178,NA,NA
Radeon HD 8650G + HD 8600M N HD 8600M Dual,757,1032,NA,NA
Radeon HD 8650G + HD 8670M Dual,585,1204,NA,NA
Radeon HD 8650G + HD 8750M Dual,778,1007,NA,NA
Radeon HD 8650G + HD 8790M Dual,799,995,NA,NA
Radeon HD 8650G + R5 M200 Dual,722,1064,NA,NA
Radeon HD 8650G + R5 M230 Dual,686,1089,NA,NA
Radeon HD 8650G N HD 8650G + HD 8570M Dual,773,1017,NA,NA
Radeon HD 8650G N HD 8650G + HD 8600/8700M Dual,796,999,NA,NA
Radeon HD 8650G N HD 8650G + HD 8600M N HD 8600M D,679,1095,NA,NA
Radeon HD 8670D,540,1260,NA,NA
Radeon HD 8670D + 6670 Dual,1361,696,NA,NA
Radeon HD 8670D + 7000 Dual,811,989,NA,NA
Radeon HD 8670D + 7700 Dual,1788,598,NA,NA
Radeon HD 8670D + 8570 Dual,974,868,NA,NA
Radeon HD 8670D + HD 6670 Dual,1221,745,NA,NA
Radeon HD 8670D + HD 7000 Dual,718,1069,NA,NA
Radeon HD 8670D + HD 7600 Dual,1317,710,NA,NA
Radeon HD 8670D + HD 7700 Dual,1892,567,NA,NA
Radeon HD 8670D + R5 235 Dual,836,966,NA,NA
Radeon HD 8670D + R5 330 Dual,746,1045,NA,NA
Radeon HD 8670D + R7 200 Dual,949,884,NA,NA
Radeon HD 8670D + R7 240 Dual,1020,837,NA,NA
Radeon HD 8670D N HD 8670D + HD 8670D Dual,488,1309,NA,NA
Radeon HD 8670M,520,1275,NA,NA
Radeon HD 8690A,465,1335,NA,NA
Radeon HD 8690M,984,857,NA,NA
Radeon HD 8730M,661,1117,NA,NA
Radeon HD 8750M,875,936,NA,NA
Radeon HD 8790M,1305,717,NA,NA
Radeon HD 8790M / R9 M290X,1210,747,NA,NA
Radeon HD 8850M,973,869,NA,NA
Radeon HD 8850M / R9 M265X,1139,777,NA,NA
Radeon HD 8870M,1638,625,NA,NA
Radeon HD 8870M / R9 M270X / M370X,1799,592,NA,NA
Radeon HD 8950,2267,486,NA,NA
Radeon HD 8970M,3876,310,27.69,$139.99*
Radeon HD 8990,5214,247,NA,NA
Radeon HD HD7850M,1651,624,NA,NA
Radeon HD4650,239,1544,1.57,$152.90*
Radeon HD4670,365,1426,NA,NA
RADEON HD6370D,320,1468,NA,NA
RADEON HD6410D,422,1380,NA,NA
RADEON HD6530D,531,1265,NA,NA
RADEON HD7450,199,1589,8.95,$22.25*
Radeon HD8530M,490,1307,NA,NA
Radeon HD8970M,3368,342,NA,NA
Radeon HDG 4670,170,1623,NA,NA
RADEON IGP 320,3,2201,NA,NA
Radeon IGP 320M,3,2208,NA,NA
