GPU Name,Passmark mark,GPU Value,MSRP
GeForce 9500 GT,134,1682,1.56,$85.99*
GeForce 9500M,103,1775,1.02,$101.20*
GeForce 9500M G,121,1711,NA,NA
GeForce 9500M GS,103,1774,NA,NA
GeForce 9600 GS,281,1506,NA,NA
GeForce 9600 GSO,349,1441,6.99,$49.99*
GeForce 9600 GSO 512,345,1442,NA,NA
GeForce 9600 GT,502,1297,7.74,$64.99*
GeForce 9600M GS,119,1718,NA,NA
GeForce 9600M GT,131,1685,1.68,$78.20*
GeForce 9600M GT / GeForce GT 220M,293,1491,NA,NA
GeForce 9650M GS,270,1511,NA,NA
GeForce 9650M GT,137,1673,1.17,$117.30*
GeForce 9700M GT,216,1564,NA,NA
GeForce 9700M GTS,325,1463,NA,NA
GeForce 9800 GT,479,1318,6.39,$74.99*
GeForce 9800 GT 1024MB,134,1680,NA,NA
GeForce 9800 GTX,769,1021,10.26,$74.99*
GeForce 9800 GTX+,510,1288,NA,NA
GeForce 9800 GTX/9800 GTX+,604,1180,6.72,$89.99*
GeForce 9800 GX2,797,996,4.09,$195.00*
GeForce 9800 S,635,1140,NA,NA
GeForce 9800M GS,460,1345,NA,NA
GeForce 9800M GT,381,1413,NA,NA
GeForce 9800M GTS,378,1415,NA,NA
GeForce 9800M GTX,461,1344,1.41,$328.50*
GeForce 999 GTX,83,1834,NA,NA
GeForce FX 5100,7,2119,NA,NA
GeForce FX 5200,7,2122,0.06,$129.00*
GeForce FX 5200 Ultra,12,2099,NA,NA
GeForce FX 5200LE,7,2126,0.16,$42.99*
GeForce FX 5200SE,11,2100,NA,NA
GeForce FX 5500,8,2114,0.05,$153.97*
GeForce FX 5600,12,2097,NA,NA
GeForce FX 5600 Ultra,17,2087,NA,NA
GeForce FX 5600XT,9,2110,NA,NA
GeForce FX 5700,40,1975,NA,NA
GeForce FX 5700 Ultra,34,2013,NA,NA
GeForce FX 5700LE,24,2060,NA,NA
GeForce FX 5700VE,33,2022,NA,NA
GeForce FX 5900,34,2010,NA,NA
GeForce FX 5900 Ultra,41,1973,NA,NA
GeForce FX 5900XT,40,1979,NA,NA
GeForce FX 5900ZT,32,2025,NA,NA
GeForce FX 5950 Ultra,59,1915,NA,NA
GeForce FX Go 5200,8,2112,NA,NA
GeForce FX Go 5600,17,2085,NA,NA
GeForce FX Go5300,12,2098,NA,NA
GeForce FX Go5650,16,2088,NA,NA
GeForce FX Go5700,51,1936,NA,NA
GeForce G 103M,61,1909,NA,NA
GeForce G 105M,65,1899,NA,NA
GeForce G100,137,1670,6.88,$19.99*
GeForce G102M,133,1684,NA,NA
GeForce G105M,106,1765,NA,NA
GeForce G200,199,1586,NA,NA
GeForce G205M,91,1814,NA,NA
GeForce G210,102,1780,0.84,$122.12*
GeForce G210M,121,1710,NA,NA
GeForce Go 6100,17,2084,NA,NA
GeForce Go 6150,19,2077,NA,NA
GeForce Go 6200,15,2091,NA,NA
GeForce Go 6400,24,2062,NA,NA
GeForce Go 6600,69,1881,NA,NA
GeForce Go 6600 TE/6200 TE,44,1963,NA,NA
GeForce Go 6800,106,1766,NA,NA
GeForce Go 6800 Ultra,137,1669,NA,NA
GeForce Go 7200,45,1960,NA,NA
GeForce Go 7300,52,1932,NA,NA
GeForce Go 7400,65,1898,NA,NA
GeForce Go 7600,127,1694,NA,NA
GeForce Go 7600 GT,210,1572,NA,NA
GeForce Go 7700,147,1646,NA,NA
GeForce Go 7800,114,1735,NA,NA
GeForce Go 7800 GTX,209,1573,NA,NA
GeForce Go 7900 GS,176,1615,NA,NA
GeForce Go 7900 GTX,270,1510,NA,NA
GeForce Go 7950 GTX,263,1519,NA,NA
GeForce GPU,1233,741,NA,NA
GeForce GT 1030,2535,439,23.05,$109.99
GeForce GT 120,174,1617,5.82,$29.99*
GeForce GT 120 / 9500 GT,324,1464,NA,NA
GeForce GT 120M,265,1517,NA,NA
GeForce GT 130,381,1414,2.52,$151.34*
GeForce GT 130M,146,1652,NA,NA
GeForce GT 140,657,1121,NA,NA
GeForce GT 220,211,1569,5.30,$39.99*
GeForce GT 220M,121,1712,NA,NA
GeForce GT 230,321,1467,7.32,$43.99*
GeForce GT 230M,201,1585,NA,NA
GeForce GT 240,548,1246,3.41,$160.97*
GeForce GT 240M,205,1580,NA,NA
GeForce GT 320,448,1358,13.73,$32.69*
GeForce GT 320M,106,1761,NA,NA
GeForce GT 325M,170,1621,NA,NA
GeForce GT 330,421,1383,10.55,$39.99*
GeForce GT 330M,209,1574,NA,NA
GeForce GT 335M,399,1402,NA,NA
GeForce GT 340,774,1015,14.62,$52.99*
GeForce GT 415,247,1533,NA,NA
GeForce GT 415M,286,1501,NA,NA
GeForce GT 420,410,1389,2.65,$155.00*
GeForce GT 420M,418,1386,NA,NA
GeForce GT 425M,516,1282,NA,NA
GeForce GT 430,600,1183,4.29,$139.99*
GeForce GT 435M,521,1274,NA,NA
GeForce GT 440,775,1014,3.45,$225.00*
GeForce GT 445M,880,932,NA,NA
GeForce GT 520,298,1486,0.98,$304.00*
GeForce GT 520M,287,1497,9.60,$29.95*
GeForce GT 520MX,290,1494,NA,NA
GeForce GT 525M,462,1342,NA,NA
GeForce GT 530,675,1104,13.78,$49.00*
GeForce GT 540M,490,1306,5.58,$87.95*
GeForce GT 545,1095,798,19.71,$55.59*
GeForce GT 550M,583,1205,NA,NA
GeForce GT 555M,667,1109,3.77,$177.20*
GeForce GT 610,302,1482,2.16,$139.99*
GeForce GT 610M / GT 620M / GT 710M / GT 720M / GT,368,1422,NA,NA
GeForce GT 620,363,1429,2.36,$154.00*
GeForce GT 620M,432,1374,NA,NA
GeForce GT 625,340,1446,NA,NA
GeForce GT 625M,435,1371,NA,NA
GeForce GT 630,687,1088,4.68,$147.01*
GeForce GT 630M,544,1253,NA,NA
GeForce GT 635,833,968,12.46,$66.94*
GeForce GT 635M,563,1232,NA,NA
GeForce GT 640,1189,758,10.81,$109.99*
GeForce GT 640M,912,910,NA,NA
GeForce GT 640M LE,673,1105,0.79,$849.99*
GeForce GT 645,2005,539,NA,NA
GeForce GT 645M,949,886,NA,NA
GeForce GT 650M,1199,754,NA,NA
GeForce GT 705,354,1437,1.20,$296.76*
GeForce GT 710,637,1138,6.19,$102.99*
GeForce GT 710M,443,1365,NA,NA
GeForce GT 720,611,1170,6.12,$99.99*
GeForce GT 720A,600,1184,NA,NA
GeForce GT 720M,465,1336,NA,NA
GeForce GT 730,816,986,7.43,$109.99*
GeForce GT 730A,742,1052,NA,NA
GeForce GT 730M,818,985,NA,NA
GeForce GT 735M,591,1192,NA,NA
GeForce GT 740,1544,654,6.52,$236.99*
GeForce GT 740A,701,1081,NA,NA
GeForce GT 740M,780,1005,NA,NA
GeForce GT 745A,1144,775,NA,NA
GeForce GT 745M,1055,818,NA,NA
GeForce GT 750M,1311,712,NA,NA
GeForce GT 755M,1599,638,NA,NA
GeForce GT 820M,601,1182,NA,NA
GeForce GT625M,493,1305,NA,NA
GeForce GTS 150M,504,1294,NA,NA
GeForce GTS 160M,678,1097,NA,NA
GeForce GTS 240,589,1195,9.07,$64.99*
GeForce GTS 250,620,1161,8.87,$69.99*
GeForce GTS 250M,569,1224,NA,NA
GeForce GTS 350M,407,1392,NA,NA
GeForce GTS 360M,664,1113,NA,NA
GeForce GTS 450,1324,707,16.55,$79.99*
GeForce GTX 1050,5080,253,26.58,$191.16
GeForce GTX 1050 (Mobile),4461,279,NA,NA
GeForce GTX 1050 Ti,6306,212,33.19,$189.99
GeForce GTX 1050 Ti (Mobile),5918,223,NA,NA
GeForce GTX 1050 Ti with Max-Q Design,5781,227,NA,NA
GeForce GTX 1050 with Max-Q Design,3866,311,NA,NA
GeForce GTX 1060,10065,123,35.95,$279.99*
GeForce GTX 1060 (Mobile),8160,168,NA,NA
GeForce GTX 1060 3GB,9737,129,36.07,$269.99*
GeForce GTX 1060 5GB,8999,149,18.44,$487.99*
GeForce GTX 1060 with Max-Q Design,7855,176,NA,NA
GeForce GTX 1070,13487,78,39.37,$342.55*
GeForce GTX 1070 (Mobile),10465,113,NA,NA
GeForce GTX 1070 Ti,14528,65,37.35,$389.00*
GeForce GTX 1070 with Max-Q Design,9442,136,NA,NA
GeForce GTX 1080,15291,56,34.54,$442.79*
GeForce GTX 1080 Ti,18322,32,37.87,$483.82*
GeForce GTX 1080 with Max-Q Design,10174,119,NA,NA
GeForce GTX 1650,7811,178,38.65,$202.13
GeForce GTX 1650 (Mobile),6968,199,NA,NA
GeForce GTX 1650 SUPER,10045,124,22.78,$441.05*
GeForce GTX 1650 Ti,7512,187,NA,NA
GeForce GTX 1650 with Max-Q Design,5923,222,NA,NA
GeForce GTX 1660,11707,99,46.83,$249.99
GeForce GTX 1660 SUPER,12756,87,47.25,$269.99
GeForce GTX 1660 Ti,11795,98,34.69,$339.99
GeForce GTX 1660 Ti (Mobile),10176,118,NA,NA
GeForce GTX 1660 Ti with Max-Q Design,8619,158,NA,NA
GeForce GTX 260,1220,746,15.25,$79.99*
GeForce GTX 260M,411,1388,NA,NA
GeForce GTX 275,1400,687,3.24,$431.72*
GeForce GTX 280,1181,760,2.26,$522.78*
GeForce GTX 280M,621,1160,NA,NA
GeForce GTX 285,1539,656,12.83,$119.99*
GeForce GTX 285M,675,1102,NA,NA
GeForce GTX 295,1170,762,7.32,$159.99*
GeForce GTX 460,2291,479,25.46,$89.99*
GeForce GTX 460 SE,1966,549,12.29,$159.99*
GeForce GTX 460 v2,2004,540,10.02,$199.99*
GeForce GTX 460M,1201,753,NA,NA
GeForce GTX 465,2681,412,13.75,$195.00*
GeForce GTX 470,3153,364,52.57,$59.99*
GeForce GTX 470M,1953,555,NA,NA
GeForce GTX 480,4116,299,24.22,$169.99*
GeForce GTX 480M,2050,523,NA,NA
GeForce GTX 485M,2359,465,NA,NA
GeForce GTX 550 Ti,1547,652,15.48,$99.99*
GeForce GTX 555,1807,589,NA,NA
GeForce GTX 560,2705,407,13.20,$205.00*
GeForce GTX 560 SE,2006,538,22.29,$89.99*
GeForce GTX 560 Ti,3066,373,23.59,$129.99*
GeForce GTX 560M,1255,730,NA,NA
GeForce GTX 570,3905,306,26.04,$149.99*
GeForce GTX 570M,1909,563,NA,NA
GeForce GTX 580,4509,275,32.23,$139.92*
GeForce GTX 580M,2074,519,8.34,$248.68*
GeForce GTX 590,3366,345,7.74,$435.00*
GeForce GTX 645,1855,575,NA,NA
GeForce GTX 650,1763,603,16.03,$109.98*
GeForce GTX 650 Ti,2535,438,27.25,$93.05*
GeForce GTX 650 Ti BOOST,3337,349,NA,NA
GeForce GTX 660,4000,302,23.82,$167.95*
GeForce GTX 660 Ti,4367,283,30.33,$144.00*
GeForce GTX 660M,1417,683,17.95,$78.99*
GeForce GTX 670,5292,243,27.29,$193.98*
GeForce GTX 670M,1769,600,NA,NA
GeForce GTX 670MX,1874,572,NA,NA
GeForce GTX 675M,1934,559,NA,NA
GeForce GTX 675MX,2338,470,NA,NA
GeForce GTX 680,5563,235,13.94,$399.00*
GeForce GTX 680M,3076,372,22.62,$135.99*
GeForce GTX 680M KY_Bullet Edition,3568,328,NA,NA
GeForce GTX 680MX,4270,292,NA,NA
GeForce GTX 690,5619,233,20.00,$280.99*
GeForce GTX 745,2171,504,7.62,$284.95*
GeForce GTX 750,3387,341,42.35,$79.99*
GeForce GTX 750 Ti,3916,305,44.45,$88.11*
GeForce GTX 760,4767,265,32.00,$149.00*
GeForce GTX 760 Ti,5205,248,17.50,$297.50*
GeForce GTX 760 Ti OEM,5427,239,NA,NA
GeForce GTX 760A,1059,816,NA,NA
GeForce GTX 760M,1676,621,NA,NA
GeForce GTX 765M,1970,548,10.58,$186.30*
GeForce GTX 770,5898,224,23.69,$249.00*
GeForce GTX 770M,2778,399,20.14,$138.00*
GeForce GTX 775M,4179,294,NA,NA
GeForce GTX 780,8036,172,28.70,$279.99*
GeForce GTX 780 Ti,9363,138,27.54,$339.99*
GeForce GTX 780M,3769,318,7.56,$499.00*
GeForce GTX 850A,1049,821,NA,NA
GeForce GTX 850M,2557,434,NA,NA
GeForce GTX 850M - MODDED,1091,800,NA,NA
GeForce GTX 860M,3026,377,26.54,$114.00*
GeForce GTX 870M,3343,348,NA,NA
GeForce GTX 880M,3888,308,NA,NA
GeForce GTX 950,5392,240,37.98,$141.99*
GeForce GTX 950A,2483,449,NA,NA
GeForce GTX 950M,2594,430,4.58,$567.00*
GeForce GTX 960,6034,220,35.08,$172.00*
GeForce GTX 960A,2410,458,NA,NA
GeForce GTX 960M,3412,338,2.92,"$1,169.00*"
GeForce GTX 965M,3811,315,NA,NA
GeForce GTX 970,9672,130,40.64,$237.99*
GeForce GTX 970M,5762,228,27.44,$209.99*
GeForce GTX 970XM FORCE,6706,204,NA,NA
GeForce GTX 980,11244,105,45.46,$247.35*
GeForce GTX 980 Ti,13873,72,26.97,$514.45
GeForce GTX 980M,7281,194,25.11,$289.99*
GeForce GTX Titan,8380,164,11.25,$745.00*
GeForce GTX TITAN Black,9140,145,17.41,$524.99*
GeForce GTX TITAN X,13278,79,12.10,"$1,096.99*"
GeForce GTX TITAN Z,9188,142,6.07,"$1,515.00*"
GeForce MX110,1469,674,NA,NA
GeForce MX130,1885,569,NA,NA
GeForce MX150,2307,474,38.92,$59.29*
GeForce MX230,1875,571,NA,NA
GeForce MX250,2502,446,NA,NA
GeForce MX330,2533,442,NA,NA
GeForce MX350,2854,388,NA,NA
GeForce MX450,3761,320,NA,NA
GeForce MX550,4908,261,NA,NA
GeForce MX570,7060,198,NA,NA
